time,px,py,pz,vx,vy,vz,ax,ay,az
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.001498,0.000000,0.000000
0.002000,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.002991,0.000000,0.000000
0.003000,0.000000,0.000000,0.000000,0.000007,0.000000,0.000000,0.004480,0.000000,0.000000
0.004000,0.000000,0.000000,0.000000,0.000012,0.000000,0.000000,0.005964,0.000000,0.000000
0.005000,0.000000,0.000000,0.000000,0.000019,0.000000,0.000000,0.007444,0.000000,0.000000
0.006000,0.000000,0.000000,0.000000,0.000027,0.000000,0.000000,0.008919,0.000000,0.000000
0.007000,0.000000,0.000000,0.000000,0.000036,0.000000,0.000000,0.010390,0.000000,0.000000
0.008000,0.000000,0.000000,0.000000,0.000048,0.000000,0.000000,0.011856,0.000000,0.000000
0.009000,0.000000,0.000000,0.000000,0.000060,0.000000,0.000000,0.013318,0.000000,0.000000
0.010000,0.000000,0.000000,0.000000,0.000074,0.000000,0.000000,0.014776,0.000000,0.000000
0.011000,0.000000,0.000000,0.000000,0.000090,0.000000,0.000000,0.016229,0.000000,0.000000
0.012000,0.000000,0.000000,0.000000,0.000107,0.000000,0.000000,0.017677,0.000000,0.000000
0.013000,0.000001,0.000000,0.000000,0.000125,0.000000,0.000000,0.019121,0.000000,0.000000
0.014000,0.000001,0.000000,0.000000,0.000145,0.000000,0.000000,0.020561,0.000000,0.000000
0.015000,0.000001,0.000000,0.000000,0.000166,0.000000,0.000000,0.021996,0.000000,0.000000
0.016000,0.000001,0.000000,0.000000,0.000189,0.000000,0.000000,0.023427,0.000000,0.000000
0.017000,0.000001,0.000000,0.000000,0.000213,0.000000,0.000000,0.024853,0.000000,0.000000
0.018000,0.000001,0.000000,0.000000,0.000239,0.000000,0.000000,0.026275,0.000000,0.000000
0.019000,0.000002,0.000000,0.000000,0.000266,0.000000,0.000000,0.027693,0.000000,0.000000
0.020000,0.000002,0.000000,0.000000,0.000294,0.000000,0.000000,0.029106,0.000000,0.000000
0.021000,0.000002,0.000000,0.000000,0.000324,0.000000,0.000000,0.030515,0.000000,0.000000
0.022000,0.000003,0.000000,0.000000,0.000355,0.000000,0.000000,0.031919,0.000000,0.000000
0.023000,0.000003,0.000000,0.000000,0.000388,0.000000,0.000000,0.033319,0.000000,0.000000
0.024000,0.000003,0.000000,0.000000,0.000422,0.000000,0.000000,0.034714,0.000000,0.000000
0.025000,0.000004,0.000000,0.000000,0.000457,0.000000,0.000000,0.036105,0.000000,0.000000
0.026000,0.000004,0.000000,0.000000,0.000494,0.000000,0.000000,0.037492,0.000000,0.000000
0.027000,0.000005,0.000000,0.000000,0.000532,0.000000,0.000000,0.038875,0.000000,0.000000
0.028000,0.000005,0.000000,0.000000,0.000572,0.000000,0.000000,0.040252,0.000000,0.000000
0.029000,0.000006,0.000000,0.000000,0.000613,0.000000,0.000000,0.041626,0.000000,0.000000
0.030000,0.000007,0.000000,0.000000,0.000655,0.000000,0.000000,0.042995,0.000000,0.000000
0.031000,0.000007,0.000000,0.000000,0.000699,0.000000,0.000000,0.044360,0.000000,0.000000
0.032000,0.000008,0.000000,0.000000,0.000744,0.000000,0.000000,0.045721,0.000000,0.000000
0.033000,0.000009,0.000000,0.000000,0.000790,0.000000,0.000000,0.047077,0.000000,0.000000
0.034000,0.000010,0.000000,0.000000,0.000838,0.000000,0.000000,0.048428,0.000000,0.000000
0.035000,0.000010,0.000000,0.000000,0.000887,0.000000,0.000000,0.049776,0.000000,0.000000
0.036000,0.000011,0.000000,0.000000,0.000937,0.000000,0.000000,0.051119,0.000000,0.000000
0.037000,0.000012,0.000000,0.000000,0.000989,0.000000,0.000000,0.052458,0.000000,0.000000
0.038000,0.000013,0.000000,0.000000,0.001042,0.000000,0.000000,0.053792,0.000000,0.000000
0.039000,0.000014,0.000000,0.000000,0.001097,0.000000,0.000000,0.055122,0.000000,0.000000
0.040000,0.000016,0.000000,0.000000,0.001152,0.000000,0.000000,0.056448,0.000000,0.000000
0.041000,0.000017,0.000000,0.000000,0.001210,0.000000,0.000000,0.057769,0.000000,0.000000
0.042000,0.000018,0.000000,0.000000,0.001268,0.000000,0.000000,0.059087,0.000000,0.000000
0.043000,0.000019,0.000000,0.000000,0.001328,0.000000,0.000000,0.060399,0.000000,0.000000
0.044000,0.000021,0.000000,0.000000,0.001389,0.000000,0.000000,0.061708,0.000000,0.000000
0.045000,0.000022,0.000000,0.000000,0.001451,0.000000,0.000000,0.063012,0.000000,0.000000
0.046000,0.000024,0.000000,0.000000,0.001515,0.000000,0.000000,0.064312,0.000000,0.000000
0.047000,0.000025,0.000000,0.000000,0.001580,0.000000,0.000000,0.065608,0.000000,0.000000
0.048000,0.000027,0.000000,0.000000,0.001646,0.000000,0.000000,0.066899,0.000000,0.000000
0.049000,0.000028,0.000000,0.000000,0.001714,0.000000,0.000000,0.068186,0.000000,0.000000
0.050000,0.000030,0.000000,0.000000,0.001782,0.000000,0.000000,0.069469,0.000000,0.000000
0.051000,0.000032,0.000000,0.000000,0.001853,0.000000,0.000000,0.070747,0.000000,0.000000
0.052000,0.000034,0.000000,0.000000,0.001924,0.000000,0.000000,0.072021,0.000000,0.000000
0.053000,0.000036,0.000000,0.000000,0.001997,0.000000,0.000000,0.073291,0.000000,0.000000
0.054000,0.000038,0.000000,0.000000,0.002070,0.000000,0.000000,0.074557,0.000000,0.000000
0.055000,0.000040,0.000000,0.000000,0.002146,0.000000,0.000000,0.075819,0.000000,0.000000
0.056000,0.000042,0.000000,0.000000,0.002222,0.000000,0.000000,0.077076,0.000000,0.000000
0.057000,0.000044,0.000000,0.000000,0.002300,0.000000,0.000000,0.078329,0.000000,0.000000
0.058000,0.000047,0.000000,0.000000,0.002379,0.000000,0.000000,0.079577,0.000000,0.000000
0.059000,0.000049,0.000000,0.000000,0.002459,0.000000,0.000000,0.080822,0.000000,0.000000
0.060000,0.000052,0.000000,0.000000,0.002540,0.000000,0.000000,0.082062,0.000000,0.000000
0.061000,0.000054,0.000000,0.000000,0.002623,0.000000,0.000000,0.083298,0.000000,0.000000
0.062000,0.000057,0.000000,0.000000,0.002707,0.000000,0.000000,0.084530,0.000000,0.000000
0.063000,0.000060,0.000000,0.000000,0.002792,0.000000,0.000000,0.085757,0.000000,0.000000
0.064000,0.000062,0.000000,0.000000,0.002879,0.000000,0.000000,0.086981,0.000000,0.000000
0.065000,0.000065,0.000000,0.000000,0.002966,0.000000,0.000000,0.088200,0.000000,0.000000
0.066000,0.000068,0.000000,0.000000,0.003055,0.000000,0.000000,0.089415,0.000000,0.000000
0.067000,0.000071,0.000000,0.000000,0.003145,0.000000,0.000000,0.090625,0.000000,0.000000
0.068000,0.000075,0.000000,0.000000,0.003236,0.000000,0.000000,0.091832,0.000000,0.000000
0.069000,0.000078,0.000000,0.000000,0.003329,0.000000,0.000000,0.093034,0.000000,0.000000
0.070000,0.000081,0.000000,0.000000,0.003422,0.000000,0.000000,0.094232,0.000000,0.000000
0.071000,0.000085,0.000000,0.000000,0.003517,0.000000,0.000000,0.095426,0.000000,0.000000
0.072000,0.000088,0.000000,0.000000,0.003613,0.000000,0.000000,0.096616,0.000000,0.000000
0.073000,0.000092,0.000000,0.000000,0.003710,0.000000,0.000000,0.097802,0.000000,0.000000
0.074000,0.000096,0.000000,0.000000,0.003809,0.000000,0.000000,0.098983,0.000000,0.000000
0.075000,0.000100,0.000000,0.000000,0.003908,0.000000,0.000000,0.100160,0.000000,0.000000
0.076000,0.000104,0.000000,0.000000,0.004009,0.000000,0.000000,0.101333,0.000000,0.000000
0.077000,0.000108,0.000000,0.000000,0.004111,0.000000,0.000000,0.102502,0.000000,0.000000
0.078000,0.000112,0.000000,0.000000,0.004214,0.000000,0.000000,0.103667,0.000000,0.000000
0.079000,0.000116,0.000000,0.000000,0.004318,0.000000,0.000000,0.104828,0.000000,0.000000
0.080000,0.000120,0.000000,0.000000,0.004424,0.000000,0.000000,0.105984,0.000000,0.000000
0.081000,0.000125,0.000000,0.000000,0.004530,0.000000,0.000000,0.107136,0.000000,0.000000
0.082000,0.000130,0.000000,0.000000,0.004638,0.000000,0.000000,0.108285,0.000000,0.000000
0.083000,0.000134,0.000000,0.000000,0.004747,0.000000,0.000000,0.109429,0.000000,0.000000
