time,q_desired_1,q_desired_2,q_desired_3,q_desired_4,q_desired_5,q_desired_6,q_desired_7,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,q_actual_7,dq_desired_1,dq_desired_2,dq_desired_3,dq_desired_4,dq_desired_5,dq_desired_6,dq_desired_7,dq_actual_1,dq_actual_2,dq_actual_3,dq_actual_4,dq_actual_5,dq_actual_6,dq_actual_7,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,tau_J_7,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7,tau_impedance_1,tau_impedance_2,tau_impedance_3,tau_impedance_4,tau_impedance_5,tau_impedance_6,tau_impedance_7,tau_inertia_1,tau_inertia_2,tau_inertia_3,tau_inertia_4,tau_inertia_5,tau_inertia_6,tau_inertia_7,tau_coriolis_1,tau_coriolis_2,tau_coriolis_3,tau_coriolis_4,tau_coriolis_5,tau_coriolis_6,tau_coriolis_7,tau_gravity_1,tau_gravity_2,tau_gravity_3,tau_gravity_4,tau_gravity_5,tau_gravity_6,tau_gravity_7,tau_k_1,tau_k_2,tau_k_3,tau_k_4,tau_k_5,tau_k_6,tau_k_7,tau_d_1,tau_d_2,tau_d_3,tau_d_4,tau_d_5,tau_d_6,tau_d_7
0.000000,0.000000,0.000000,0.000000,-1.570790,0.000000,1.570790,-0.785300,0.000621,0.000143,0.000106,-1.571040,-0.000256,1.571204,-0.785105,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000042,0.000088,0.000583,-0.000540,0.000013,0.000110,-0.000335,-1.480959,-25.757254,-0.138854,18.896379,1.097783,1.120477,-0.218223,-0.374954,-0.090371,-0.092496,0.176931,0.012543,-0.064852,-0.004699,-0.374955,-0.090370,-0.092496,0.176931,0.012543,-0.064852,-0.004699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-25.203715,0.000149,18.518325,0.802109,1.665081,0.000011,-0.372845,-0.085958,-0.063371,0.149913,0.012810,-0.062104,-0.009726,-0.002109,-0.004412,-0.029125,0.027018,-0.000267,-0.002749,0.005027
0.001000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000622,0.000143,0.000100,-1.571041,-0.000257,1.571204,-0.785105,-0.000000,-0.000000,-0.000000,-0.000000,-0.000001,0.000000,0.000001,0.000028,0.000059,-0.001375,-0.000360,-0.000228,0.000073,-0.000223,-1.480959,-25.757254,-0.063476,18.896379,1.104192,1.120477,-0.218223,-0.375597,-0.089003,0.007310,0.169044,0.017356,-0.063911,-0.006362,-0.374358,-0.088608,0.008534,0.168889,0.017403,-0.063926,-0.006365,-0.001239,-0.000393,-0.001224,0.000155,-0.000048,0.000015,0.000003,-0.000000,-0.000002,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-25.203710,0.000148,18.518330,0.802108,1.665080,0.000011,-0.372940,-0.085660,-0.060197,0.150882,0.012846,-0.062103,-0.009726,-0.001418,-0.002948,0.068731,0.018007,0.004558,-0.001823,0.003362
0.002000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000620,0.000144,0.000100,-1.571041,-0.000258,1.571205,-0.785100,-0.000001,-0.000001,-0.000001,-0.000000,-0.000002,0.000002,0.000003,0.005054,0.001405,-0.000917,0.001523,-0.008914,-0.000663,0.000597,-1.429384,-25.681875,-0.063476,18.821001,1.085882,1.139703,-0.238365,-0.627298,-0.157318,-0.016863,0.074745,0.191047,-0.045610,-0.018907,-0.624830,-0.156516,-0.014425,0.074431,0.191142,-0.045640,-0.018912,-0.002476,-0.000785,-0.002446,0.000310,-0.000096,0.000030,0.000005,0.000008,-0.000017,0.000008,0.000004,0.000000,0.000000,-0.000000,-0.000000,-25.203741,0.000149,18.518333,0.802107,1.665081,0.000011,-0.372079,-0.086222,-0.060197,0.150606,0.012904,-0.062260,-0.009997,-0.252752,-0.070294,0.045773,-0.076174,0.178239,0.016619,-0.008915
0.003000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000618,0.000141,0.000100,-1.571039,-0.000256,1.571203,-0.785108,-0.000002,-0.000001,-0.000003,-0.000001,-0.000005,0.000004,0.000006,0.002219,0.000734,-0.000611,0.002038,-0.004763,-0.002409,-0.002552,-1.357973,-25.527151,-0.063476,18.642473,1.032781,1.192804,-0.158714,-0.485563,-0.122720,-0.033442,0.047655,0.107830,-0.001656,0.028771,-0.481850,-0.121540,-0.029775,0.047190,0.107974,-0.001702,0.028763,-0.003711,-0.001178,-0.003667,0.000465,-0.000144,0.000045,0.000008,-0.000001,-0.000003,-0.000001,0.000001,-0.000000,0.000000,-0.000000,0.000000,-25.203647,0.000147,18.518311,0.802109,1.665083,0.000011,-0.370788,-0.084788,-0.060199,0.149156,0.012821,-0.062010,-0.009607,-0.111062,-0.036752,0.030424,-0.101967,0.095153,0.060309,0.038370
0.004000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000623,0.000140,0.000101,-1.571038,-0.000258,1.571200,-0.785103,-0.000004,-0.000002,-0.000005,-0.000002,-0.000009,0.000006,0.000011,0.001220,0.000568,-0.001057,0.002015,-0.002646,-0.003301,0.003597,-1.330202,-25.376394,-0.035705,18.467913,1.002569,1.238580,-0.172447,-0.440159,-0.114041,-0.012576,0.048753,0.065433,0.021290,-0.063643,-0.435213,-0.112471,-0.007690,0.048134,0.065625,0.021230,-0.063654,-0.004946,-0.001569,-0.004886,0.000619,-0.000191,0.000060,0.000011,-0.000001,-0.000001,-0.000001,0.000000,-0.000000,-0.000000,0.000000,0.000000,-25.203596,0.000145,18.518302,0.802108,1.665082,0.000011,-0.374027,-0.083969,-0.060310,0.148978,0.012884,-0.061458,-0.009860,-0.061186,-0.028502,0.052620,-0.100844,0.052741,0.082689,-0.053794
0.005000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000631,0.000138,0.000096,-1.571047,-0.000257,1.571203,-0.785099,-0.000006,-0.000003,-0.000007,-0.000003,-0.000014,0.000010,0.000017,0.003698,-0.000778,0.000674,0.001440,-0.001325,-0.002201,0.002526,-1.306399,-25.301016,0.039674,18.444109,0.978765,1.238580,-0.165122,-0.569725,-0.045860,-0.097730,0.082850,0.038802,-0.006665,-0.047662,-0.563538,-0.043880,-0.091618,0.082074,0.039042,-0.006739,-0.047675,-0.006178,-0.001960,-0.006104,0.000774,-0.000239,0.000075,0.000013,-0.000009,-0.000020,-0.000009,0.000003,-0.000000,-0.000001,-0.000000,-0.000000,-25.203563,0.000143,18.518332,0.802108,1.665080,0.000011,-0.378331,-0.082640,-0.057565,0.154180,0.012828,-0.062005,-0.010038,-0.185206,0.038760,-0.034052,-0.072106,0.026214,0.055266,-0.037637
0.006000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000630,0.000140,0.000094,-1.571049,-0.000258,1.571206,-0.785105,-0.000009,-0.000005,-0.000010,-0.000004,-0.000021,0.000014,0.000024,0.001184,0.000492,0.000154,0.001821,-0.001453,-0.000993,0.000763,-1.231020,-25.324820,0.063477,18.392534,0.985174,1.225763,-0.132163,-0.445251,-0.111469,-0.072260,0.065030,0.041240,-0.037145,-0.020828,-0.437842,-0.109116,-0.064940,0.064102,0.041527,-0.037235,-0.020844,-0.007409,-0.002351,-0.007320,0.000928,-0.000287,0.000090,0.000016,-0.000000,-0.000002,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-25.203667,0.000146,18.518353,0.802108,1.665078,0.000011,-0.378208,-0.084259,-0.056710,0.155315,0.012889,-0.062399,-0.009766,-0.059634,-0.024857,-0.008229,-0.091213,0.028638,0.025164,-0.011078
0.007000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000634,0.000144,0.000095,-1.571051,-0.000257,1.571208,-0.785102,-0.000012,-0.000006,-0.000014,-0.000005,-0.000028,0.000019,0.000033,0.001151,0.002432,0.000299,0.001511,-0.001862,-0.000153,0.000733,-1.231020,-25.400198,0.063477,18.368731,1.002569,1.212030,-0.132163,-0.447267,-0.211048,-0.080958,0.081960,0.049167,-0.058278,-0.020381,-0.438632,-0.208308,-0.072428,0.080881,0.049501,-0.058382,-0.020400,-0.008639,-0.002741,-0.008535,0.001082,-0.000334,0.000105,0.000019,0.000005,0.000001,0.000005,-0.000003,-0.000000,-0.000000,-0.000000,0.000000,-25.203800,0.000149,18.518379,0.802108,1.665076,0.000011,-0.380508,-0.086363,-0.056765,0.156700,0.012833,-0.062686,-0.009897,-0.058125,-0.121945,-0.015663,-0.075819,0.036669,0.004304,-0.010503
0.008000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000636,0.000144,0.000093,-1.571056,-0.000257,1.571206,-0.785098,-0.000015,-0.000008,-0.000018,-0.000007,-0.000037,0.000025,0.000043,0.002958,0.003641,-0.000303,0.000256,-0.001869,-0.000848,0.001640,-1.183413,-25.475576,0.091248,18.392534,1.014470,1.232171,-0.158714,-0.540335,-0.272214,-0.051123,0.147914,0.049101,-0.040425,-0.034030,-0.530488,-0.269077,-0.041396,0.146684,0.049483,-0.040543,-0.034051,-0.009867,-0.003131,-0.009748,0.001236,-0.000382,0.000120,0.000021,0.000021,-0.000007,0.000021,-0.000006,-0.000000,-0.000001,-0.000000,-0.000000,-25.203837,0.000150,18.518401,0.802108,1.665071,0.000011,-0.381833,-0.086626,-0.055621,0.159831,0.012847,-0.062368,-0.010086,-0.148655,-0.182450,0.014226,-0.013147,0.036636,0.021824,-0.023965
0.009000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000640,0.000143,0.000091,-1.571055,-0.000257,1.571204,-0.785102,-0.000019,-0.000011,-0.000023,-0.000008,-0.000046,0.000032,0.000054,0.002985,0.003268,-0.000091,0.000025,-0.001386,-0.001040,-0.000001,-1.207216,-25.503347,0.091248,18.392534,1.014470,1.244989,-0.125755,-0.545233,-0.253036,-0.061890,0.158915,0.039183,-0.035232,-0.009069,-0.534157,-0.249507,-0.050949,0.157530,0.039612,-0.035366,-0.009093,-0.011094,-0.003520,-0.010960,0.001389,-0.000429,0.000135,0.000024,0.000019,-0.000009,0.000019,-0.000004,0.000000,-0.000001,-0.000000,-0.000000,-25.203772,0.000148,18.518388,0.802108,1.665072,0.000011,-0.383952,-0.085552,-0.054361,0.159202,0.012828,-0.062156,-0.009915,-0.150205,-0.163955,0.003411,-0.001672,0.026784,0.026791,0.000822
0.010000,-0.000000,-0.000000,-0.000000,-1.570790,-0.000000,1.570790,-0.785300,0.000642,0.000145,0.000090,-1.571056,-0.000255,1.571205,-0.785101,-0.000024,-0.000013,-0.000029,-0.000010,-0.000057,0.000039,0.000067,0.002889,0.003529,-0.000535,-0.001299,0.000497,-0.001677,0.000331,-1.231020,-25.554922,0.115052,18.444109,0.973272,1.271539,-0.132163,-0.543264,-0.268021,-0.041063,0.225847,0.001185,-0.019148,-0.013900,-0.530965,-0.264099,-0.028914,0.224310,0.001662,-0.019296,-0.013926,-0.012319,-0.003909,-0.012170,0.001543,-0.000477,0.000150,0.000027,0.000021,-0.000013,0.000022,-0.000005,-0.000000,-0.000002,-0.000000,-0.000000,-25.203859,0.000150,18.518403,0.802109,1.665070,0.000010,-0.385337,-0.086980,-0.054228,0.159873,0.012751,-0.062188,-0.009953,-0.145629,-0.177119,0.025313,0.064438,-0.011089,0.042892,-0.003974
