time,q_desired_1,q_desired_2,q_desired_3,q_desired_4,q_desired_5,q_desired_6,q_desired_7,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,q_actual_7,dq_actual_1,dq_actual_2,dq_actual_3,dq_actual_4,dq_actual_5,dq_actual_6,dq_actual_7,tau_J_1,tau_J_2,tau_J_3,tau_J_4,tau_J_5,tau_J_6,tau_J_7,tau_J_d_1,tau_J_d_2,tau_J_d_3,tau_J_d_4,tau_J_d_5,tau_J_d_6,tau_J_d_7
0.000000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000122,0.000133,-0.000466,-0.001481,0.000278,-0.000114,-0.000649,-1.429384,-2.568472,-0.571288,18.491716,0.931157,1.917901,0.272500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000612,-0.785031,-0.000063,-2.356231,-0.000186,1.570527,0.785108,0.000081,0.000646,0.000246,0.000776,-0.000052,0.000161,-0.000670,-1.429384,-2.592275,-0.595092,18.416338,0.937566,1.911493,0.278908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000614,-0.785035,-0.000065,-2.356231,-0.000187,1.570527,0.785111,0.000704,-0.000776,-0.001043,0.000517,-0.000476,0.000345,0.000537,-1.457155,-2.540701,-0.543517,18.416338,0.949468,1.905084,0.252358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000612,-0.785029,-0.000061,-2.356233,-0.000186,1.570527,0.785111,-0.000180,0.001246,0.001161,-0.000305,0.000124,-0.000007,0.000120,-1.429384,-2.616079,-0.622863,18.444109,0.937566,1.911493,0.258767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.004000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000611,-0.785038,-0.000063,-2.356230,-0.000186,1.570526,0.785115,0.000780,0.003304,-0.000631,-0.003890,-0.003541,-0.001735,0.002522,-1.330202,-2.183645,-0.698241,18.063250,0.907354,1.831842,0.192849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000608,-0.785049,-0.000066,-2.356230,-0.000185,1.570528,0.785112,0.002158,0.003876,-0.004193,-0.006486,-0.001732,-0.000664,-0.002968,-0.985048,-1.013296,-0.952148,17.107134,0.752630,1.555352,0.060097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.006000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000632,-0.785048,-0.000096,-2.356247,-0.000190,1.570502,0.785093,0.012483,0.003764,-0.011270,-0.006493,-0.004646,-0.003566,-0.010348,-0.735110,0.514109,-0.900573,15.877275,0.568609,1.357599,0.006997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.007000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000681,-0.785032,-0.000140,-2.356259,-0.000206,1.570466,0.785063,0.027282,0.001866,-0.012421,-0.001474,-0.003737,-0.012845,-0.016831,-0.389956,1.966135,-0.341186,14.766435,0.550298,1.219354,-0.019553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.008000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000720,-0.784989,-0.000165,-2.356277,-0.000232,1.570423,0.785022,0.034479,0.007191,-0.009813,0.001698,-0.009211,-0.023117,-0.023796,0.550291,2.779429,0.547486,14.441117,0.705022,1.166253,0.013405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.009000,0.000612,-0.785033,-0.000063,-2.356236,-0.000185,1.570526,0.785109,0.000795,-0.784926,-0.000180,-2.356292,-0.000265,1.570398,0.784987,0.046271,0.023969,-0.007610,-0.001453,-0.009517,-0.024181,-0.027803,1.542112,3.033335,1.995545,14.794206,1.032781,1.067376,0.019814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
