time,joint1_desired,joint2_desired,joint3_desired,joint4_desired,joint5_desired,joint6_desired,joint7_desired,joint1_actual,joint2_actual,joint3_actual,joint4_actual,joint5_actual,joint6_actual,joint7_actual
0.0,0.0,0.0,0.0,-1.57079,0.0,1.57079,-0.7853,6.707535889053813e-08,4.482433026380053e-06,7.985863269722804e-08,-1.5708009959469826,-9.557017975751507e-07,1.5707891906233857,-0.785300026994804
0.001,-7.997600192000001e-11,-4.3986801056e-11,-9.5971202304e-11,-1.5707900000343265,-1.91942404608e-10,1.5707900001302977,-0.7852999997772429,1.9403647919355454e-07,1.4122255629557291e-05,2.34013047222985e-07,-1.5708192262894647,-2.50872047126288e-06,1.5707872026178298,-0.7853000675242355
0.002,-6.396160614400001e-10,-3.5178883379200003e-10,-7.675392737280001e-10,-1.5707900002745296,-1.5350785474560002e-09,1.5707900010420686,-0.7852999982184774,3.684865311836787e-07,2.887216703569195e-05,4.484894391418802e-07,-1.5708426424358628,-4.448663632169042e-06,1.5707841848367414,-0.7853001130220412
0.003,-2.15805646656e-09,-1.186931056608e-09,-2.589667759872e-09,-1.5707900009262592,-5.179335519744e-09,1.570790003515927,-0.7852999939891653,5.775190295400336e-07,4.838068366821681e-05,7.076403972244234e-07,-1.5708700314106974,-6.654651677977712e-06,1.5707803554376432,-0.7853001584909891
0.004,-5.11385796608e-09,-2.812621881344e-09,-6.1366295592960005e-09,-1.570790002194919,-1.2273259118592001e-08,1.5707900083315485,-0.7852999857563714,8.094535401443284e-07,7.218596698771659e-05,9.9686426600424e-07,-1.5709006058373587,-9.055512191770812e-06,1.5707758950194743,-0.7853002012546809
0.005,-9.985006000000002e-09,-5.4917533000000004e-09,-1.1982007200000002e-08,-1.5707900042856644,-2.3964014400000003e-08,1.5707900162676713,-0.7852999721887627,1.054375592240424e-06,9.980503089274305e-05,1.3035672332408302e-06,-1.5709338072360803,-1.1606844341966817e-05,1.5707709366235465,-0.7853002400298086
0.006,-1.724891092992e-08,-9.486901011456e-09,-2.0698693115904002e-08,-1.570790007403405,-4.1397386231808004e-08,1.5707900281020981,-0.7852999519566083,1.3041843810855104e-06,0.0001307735145503099,1.6173612445640799e-06,-1.570969209006417,-1.4278715732352918e-05,1.5707655769732143,-0.7853002743173887
0.007,-2.7382408269440004e-08,-1.5060324548192e-08,-3.2858889923328e-08,-1.570790011752803,-6.5717779846656e-08,1.5707900446116934,-0.7852999237317783,1.5524446941469211e-06,0.0001646619630583644,1.9299414300664155e-06,-1.5710064670000101,-1.7049271759256024e-05,1.570759888312176,-0.7853003040329196
0.008,-4.086175891456e-08,-2.2473967403008002e-08,-4.9034110697472005e-08,-1.5707900175382754,-9.806822139494401e-08,1.5707900665723862,-0.7852998861877429,1.794172489522079e-06,0.00020108099117921818,2.2348437580176398e-06,-1.5710452932747045,-1.990144477162931e-05,1.5707539268227975,-0.7853003292933171
0.009000000000000001,-5.816264937408002e-08,-3.198945715574401e-08,-6.979517924889602e-08,-1.5707900249639908,-1.3959035849779205e-07,1.57079009475917,-0.7852998379995727,2.025611032269081e-06,0.00023968129264933334,2.527173504098289e-06,-1.5710854413749342,-2.2821241125292426e-05,1.5707477379355816,-0.7853003502990898
0.01,-7.976019200000002e-08,-4.3868105600000007e-08,-9.571223040000001e-08,-1.5707900342338719,-1.9142446080000002e-07,1.5707901299461025,-0.7852997778439372,2.244021684447739e-06,0.00028015138090112826,2.803344143934542e-06,-1.5711266974810931,-2.579682144822916e-05,1.5707413595443465,-0.7853003672715281
0.011,-1.0612892521791998e-07,-5.837090886985599e-08,-1.27354710261504e-07,-1.570790045551596,-2.54709420523008e-07,1.5707901729063063,-0.7852997043991046,2.4474982819821147e-06,0.0003222144543159657,3.0608424023127507e-06,-1.5711688746407246,-2.8817979723132173e-05,1.5707348239551278,-0.7853003804205514
0.012,-1.3774281375744e-07,-7.5758547566592e-08,-1.65291376508928e-07,-1.570790059120593,-3.30582753017856e-07,1.5707902244119694,-0.7852996163449408,2.634807041992808e-06,0.00036562504951067985,3.298024055059184e-06,-1.5712118086877847,-3.187582540377896e-05,1.5707281591043993,-0.7853003899291833
0.013000000000000001,-1.7507524888256007e-07,-9.629138688540804e-08,-2.100902986590721e-07,-1.5707900751440476,-4.201805973181442e-07,1.570790285234346,-0.7852995123629093,2.8052508389240547e-06,0.00041016578834238425,3.5139400313578697e-06,-1.5712553551409765,-3.4962571712349576e-05,1.5707213893617986,-0.7853003959468304
0.014,-2.1859904862208003e-07,-1.20229476742144e-07,-2.62318858346496e-07,-1.5707900938248975,-5.24637716692992e-07,1.570790356143756,-0.7852993911360698,2.958555446228114e-06,0.0004556443491380876,3.7081902474646008e-06,-1.5712993867122702,-3.807138201153203e-05,1.5707145360944204,-0.785300398587115
0.015,-2.68786458e-07,-1.4783255189999997e-07,-3.2254374959999994e-07,-1.5707901153658355,-6.450874991999999e-07,1.5707904379095852,-0.7852992513490785,3.0947749856641155e-06,0.000501890707673194,3.8808018883083685e-06,-1.571343791227458,-4.119625006875014e-05,1.570707618089983,-0.7853003979279891
